name	image
Alien	https://cdn.discordapp.com/halloween-bot/Alien.png
Bat	https://cdn.discordapp.com/halloween-bot/Bat.png
Cat	https://cdn.discordapp.com/halloween-bot/Cat.png
Centaur	https://cdn.discordapp.com/halloween-bot/Centaur.png
Chupacabra	https://cdn.discordapp.com/halloween-bot/Chupacabra.png
Clown	https://cdn.discordapp.com/halloween-bot/Clown.png
Crow	https://cdn.discordapp.com/halloween-bot/Crow.png
Demon	https://cdn.discordapp.com/halloween-bot/Demon.png
Fairy	https://cdn.discordapp.com/halloween-bot/Fairy.png
Frog	https://cdn.discordapp.com/halloween-bot/Frog.png
Ghost	https://cdn.discordapp.com/halloween-bot/Ghost.png
Goblin	https://cdn.discordapp.com/halloween-bot/Goblin.png
Gremlin	https://cdn.discordapp.com/halloween-bot/Gremlin.png
Haunted Tree (Haunted-Tree)	https://cdn.discordapp.com/halloween-bot/Haunted-Tree.png
Jack-o'-Lantern (Jackolantern)	https://cdn.discordapp.com/halloween-bot/Jackolantern.png
Knight	https://cdn.discordapp.com/halloween-bot/Knight.png
Man-shark	https://cdn.discordapp.com/halloween-bot/Man-shark.png
Mothman	https://cdn.discordapp.com/halloween-bot/Mothman.png
Mummy	https://cdn.discordapp.com/halloween-bot/Mummy.png
Nice Pumpkins (Nice-Pumpkins)	https://cdn.discordapp.com/halloween-bot/Nice-Pumpkins.png
Orc	https://cdn.discordapp.com/halloween-bot/Orc.png
Pirate	https://cdn.discordapp.com/halloween-bot/Pirate.png
Plague Doctor (Plague-Doctor)	https://cdn.discordapp.com/halloween-bot/Plague-Doctor.png
Rat	https://cdn.discordapp.com/halloween-bot/Rat.png
Reaper	https://cdn.discordapp.com/halloween-bot/Reaper.png
Robot	https://cdn.discordapp.com/halloween-bot/Robot.png
Scarecrow	https://cdn.discordapp.com/halloween-bot/Scarecrow.png
Scientist	https://cdn.discordapp.com/halloween-bot/Scientist.png
Skeleton	https://cdn.discordapp.com/halloween-bot/Skeleton.png
Slime	https://cdn.discordapp.com/halloween-bot/Slime.png
Snake	https://cdn.discordapp.com/halloween-bot/Snake.png
Spider	https://cdn.discordapp.com/halloween-bot/Spider.png
Teddy Bear (Teddy-Bear)	https://cdn.discordapp.com/halloween-bot/Teddy-Bear.png
Vampire	https://cdn.discordapp.com/halloween-bot/Vampire.png
Werewolf	https://cdn.discordapp.com/halloween-bot/Werewolf.png
Witch	https://cdn.discordapp.com/halloween-bot/Witch.png
Wumpus Dino (Wumpus-Dino)	https://cdn.discordapp.com/halloween-bot/Wumpus-Dino.png
Wumpus Wumpus (Wumpus-Wumpus)	https://cdn.discordapp.com/halloween-bot/Wumpus-Wumpus.png
Wumpus Yeti (Wumpus-Yeti)	https://cdn.discordapp.com/halloween-bot/Wumpus-Yeti.png
Zombie	https://cdn.discordapp.com/halloween-bot/Zombie.png
