code	name
af	Afrikaans
cs	Čeština
da	Dansk
de	Deutsch
el	Ελληνικά
en	English
en-gb	English (UK)
es	Español (España)
es-la	Español
fi	Suomi
fr	Français
id	Bahasa Indonesia
it	Italiano
ja	日本語
ko	한국어
ms	Bahasa Melayu
nb	Norsk
nl	Nederlands
pl	Polski
pt-br	Português (Brasil)
pt	Português (Portugal)
ru	Русский
sv	Svenska
th	ภาษาไทย
tl	Filipino
tr	Türkçe
zh-cn	中文(简体)
zh-tw	中文(台灣)
bn	বাংলা
gu	ગુજરાતી
hi	हिन्दी
hr	Hrvatski
hu	Magyar
kn	ಕನ್ನಡ
ml	മലയാളം
mr	मराठी
ne	नेपाली
pa	ਪੰਜਾਬੀ
si	සිංහල
sk	Slovenčina
ta	தமிழ்
te	తెలుగు
vi	Tiếng Việt
zh-hk	中文(香港)
bg	Български
fr-ca	Français (Canada)
ro	Română
sr	Српски
uk	Українська
