code	name
af	Afrikaans
an	aragonés
ar	اللغة العربية
ast	Asturianu
be	беларуская мова
bg	български език
bn	বাংলা
br	brezhoneg
bs	bosanski jezik
ca	Català
ckb	سۆرانی
co	corsu
cs	čeština
cy	Cymraeg
da	dansk
de	Deutsch
el	Ελληνικά
en	English
en-GB	English (British)
eo	Esperanto
es	Español
es-AR	Español (Argentina)
es-MX	Español (México)
et	eesti
eu	euskara
fa	فارسی
fi	suomi
fo	føroyskt
fr	Français
fr-QC	Français (Canadien)
fy	Frysk
ga	Gaeilge
gd	Gàidhlig
gl	galego
he	עברית
hi	हिन्दी
hr	Hrvatski
hu	magyar
hy	Հայերեն
id	Bahasa Indonesia
ig	Asụsụ Igbo
io	Ido
is	Íslenska
it	Italiano
ja	日本語
ka	ქართული
kab	Taqbaylit
kk	қазақ тілі
kn	ಕನ್ನಡ
ko	한국어
ku	Kurmancî
kw	Kernewek
la	latine
lt	lietuvių kalba
lv	latviešu valoda
mk	македонски јазик
ml	മലയാളം
mr	मराठी
ms	Bahasa Melayu
my	ဗမာစာ
nl	Nederlands
nn	Norsk Nynorsk
no	Norsk
oc	occitan
pa	ਪੰਜਾਬੀ
pl	Polski
pt-BR	Português (Brasil)
pt-PT	Português (Portugal)
ro	Română
ru	Русский
sa	संस्कृतम्
sc	sardu
sco	Scots
si	සිංහල
sk	slovenčina
sl	slovenščina
sq	Shqip
sr	српски језик
sr-Latn	Srpski (latinica)
sv	Svenska
szl	ślůnsko godka
ta	தமிழ்
tai	ภาษาไท or ภาษาไต
te	తెలుగు
th	ไทย
tr	Türkçe
tt	татар теле
ug	ئۇيغۇرچە&lrm;
uk	Українська
ur	اردو
vi	Tiếng Việt
zgh	ⵜⴰⵎⴰⵣⵉⵖⵜ
zh-CN	简体中文
zh-HK	繁體中文（香港）
zh-TW	繁體中文（臺灣）
